,City,Country,Temparature-in-Celcius,Extraction-Datetime
91,Kuwait City,Kuwait,43 °C,2023-08-05 13:29:58.653963
92,Bishkek,Kyrgyzstan,33 °C,2023-08-05 13:29:58.653963
93,Vientiane,Laos,25 °C,2023-08-05 13:29:58.653963
94,Riga,Latvia,20 °C,2023-08-05 13:29:58.653963
95,Beirut,Lebanon,31 °C,2023-08-05 13:29:58.653963
96,Monrovia,Liberia,24 °C,2023-08-05 13:29:58.653963
97,Vaduz,Liechtenstein,14 °C,2023-08-05 13:29:58.653963
98,Vilnius,Lithuania,24 °C,2023-08-05 13:29:58.653963
99,Luxembourg,Luxembourg,15 °C,2023-08-05 13:29:58.653963
100,Antananarivo,Madagascar,18 °C,2023-08-05 13:29:58.653963
101,Lilongwe,Malawi,16 °C,2023-08-05 13:29:58.653963
102,Kuala Lumpur,Malaysia,34 °C,2023-08-05 13:29:58.653963
103,Male,Maldives,32 °C,2023-08-05 13:29:58.653963
104,Bamako,Mali,26 °C,2023-08-05 13:29:58.653963
105,Valletta,Malta,26 °C,2023-08-05 13:29:58.653963
106,Majuro,Marshall Islands,29 °C,2023-08-05 13:29:58.653963
107,Port Louis,Mauritius,20 °C,2023-08-05 13:29:58.653963
108,Ciudad de México,Mexico,16 °C,2023-08-05 13:29:58.653963
109,Pohnpei,Micronesia,31 °C,2023-08-05 13:29:58.653963
110,Chișinău,Moldova,26 °C,2023-08-05 13:29:58.653963
111,Monaco,Monaco,23 °C,2023-08-05 13:29:58.653963
112,Ulaanbaatar,Mongolia,25 °C,2023-08-05 13:29:58.653963
113,Podgorica,Montenegro,22 °C,2023-08-05 13:29:58.653963
114,Brades,Montserrat,28 °C,2023-08-05 13:29:58.653963
115,Rabat,Morocco,20 °C,2023-08-05 13:29:58.653963
116,Maputo,Mozambique,20 °C,2023-08-05 13:29:58.653963
117,Windhoek,Namibia,15 °C,2023-08-05 13:29:58.653963
118,Kathmandu,Nepal,26 °C,2023-08-05 13:29:58.653963
119,Amsterdam,Netherlands,16 °C,2023-08-05 13:29:58.653963
120,Wellington,New Zealand,9 °C,2023-08-05 13:29:58.653963
121,Managua,Nicaragua,28 °C,2023-08-05 13:29:58.653963
122,Niamey,Niger,27 °C,2023-08-05 13:29:58.654963
123,Alofi,Niue,23 °C,2023-08-05 13:29:58.654963
124,Pyongyang,North Korea,31 °C,2023-08-05 13:29:58.654963
125,Skopje,North Macedonia,30 °C,2023-08-05 13:29:58.654963
126,Oslo,Norway,14 °C,2023-08-05 13:29:58.654963
127,Muscat,Oman,30 °C,2023-08-05 13:29:58.654963
128,Islamabad,Pakistan,27 °C,2023-08-05 13:29:58.654963
129,Ngerulmud,Palau,26 °C,2023-08-05 13:29:58.654963
130,Panama,Panama,27 °C,2023-08-05 13:29:58.654963
131,Port Moresby,Papua New Guinea,27 °C,2023-08-05 13:29:58.654963
132,Asuncion,Paraguay,22 °C,2023-08-05 13:29:58.654963
133,Lima,Peru,21 °C,2023-08-05 13:29:58.654963
134,Manila,Philippines,32 °C,2023-08-05 13:29:58.654963
135,Warsaw,Poland,20 °C,2023-08-05 13:29:58.654963
136,Lisbon,Portugal,22 °C,2023-08-05 13:29:58.654963
137,San Juan,Puerto Rico,27 °C,2023-08-05 13:29:58.654963
138,Doha,Qatar,41 °C,2023-08-05 13:29:58.654963
139,Saint-Denis,Réunion (French),26 °C,2023-08-05 13:29:58.654963
140,Bucharest,Romania,27 °C,2023-08-05 13:29:58.654963
141,Moscow,Russia,25 °C,2023-08-05 13:29:58.654963
142,Kigali,Rwanda,21 °C,2023-08-05 13:29:58.654963
143,Jamestown,Saint Helena,14 °C,2023-08-05 13:29:58.654963
144,Basseterre,Saint Kitts and Nevis,28 °C,2023-08-05 13:29:58.654963
145,Castries,Saint Lucia,27 °C,2023-08-05 13:29:58.654963
146,Kingstown,Saint Vincent and Grenadines,28 °C,2023-08-05 13:29:58.654963
147,Apia,Samoa,28 °C,2023-08-05 13:29:58.654963
148,San Marino,San Marino,19 °C,2023-08-05 13:29:58.654963
149,São Tomé,Sao Tome and Principe,22 °C,2023-08-05 13:29:58.654963
150,Riyadh,Saudi Arabia,39 °C,2023-08-05 13:29:58.654963
151,Dakar,Senegal,28 °C,2023-08-05 13:29:58.654963
152,Belgrade,Serbia,22 °C,2023-08-05 13:29:58.654963
153,Victoria,Seychelles,28 °C,2023-08-05 13:29:58.654963
154,Freetown,Sierra Leone,25 °C,2023-08-05 13:29:58.654963
155,Singapore,Singapore,32 °C,2023-08-05 13:29:58.654963
156,Bratislava,Slovakia,19 °C,2023-08-05 13:29:58.654963
157,Ljubljana,Slovenia,16 °C,2023-08-05 13:29:58.654963
158,Gizo,Solomon Islands,25 °C,2023-08-05 13:29:58.655963
159,Honiara,Solomon Islands,28 °C,2023-08-05 13:29:58.655963
160,Pretoria,South Africa,12 °C,2023-08-05 13:29:58.655963
161,Seoul,South Korea,34 °C,2023-08-05 13:29:58.655963
162,Madrid,Spain,17 °C,2023-08-05 13:29:58.655963
163,Sri Jayawardenepura Kotte,Sri Lanka,30 °C,2023-08-05 13:29:58.655963
164,Stockholm,Sweden,16 °C,2023-08-05 13:29:58.655963
165,Bern,Switzerland,16 °C,2023-08-05 13:29:58.655963
166,Damascus,Syria,29 °C,2023-08-05 13:29:58.655963
167,Taipei,Taiwan,33 °C,2023-08-05 13:29:58.655963
168,Dushanbe,Tajikistan,35 °C,2023-08-05 13:29:58.655963
169,Dodoma,Tanzania,19 °C,2023-08-05 13:29:58.655963
170,Bangkok,Thailand,35 °C,2023-08-05 13:29:58.655963
171,Lomé,Togo,25 °C,2023-08-05 13:29:58.655963
172,Nuku'alofa,Tonga,15 °C,2023-08-05 13:29:58.655963
173,Port of Spain,Trinidad and Tobago,26 °C,2023-08-05 13:29:58.655963
174,Tunis,Tunisia,26 °C,2023-08-05 13:29:58.655963
175,Ankara,Turkey,27 °C,2023-08-05 13:29:58.655963
176,Ashgabat,Turkmenistan,34 °C,2023-08-05 13:29:58.655963
177,Funafuti,Tuvalu,30 °C,2023-08-05 13:29:58.655963
178,Kampala,Uganda,22 °C,2023-08-05 13:29:58.655963
179,Kyiv,Ukraine,25 °C,2023-08-05 13:29:58.655963
180,Abu Dhabi,United Arab Emirates,41 °C,2023-08-05 13:29:58.655963
181,England,United Kingdom,13 °C,2023-08-05 13:29:58.655963
182,Montevideo,Uruguay,4 °C,2023-08-05 13:29:58.655963
183,District of Columbia,USA,23 °C,2023-08-05 13:29:58.655963
184,Tashkent,Uzbekistan,36 °C,2023-08-05 13:29:58.655963
185,Port Vila,Vanuatu,22 °C,2023-08-05 13:29:58.655963
186,Vatican City,Vatican City State,20 °C,2023-08-05 13:29:58.655963
187,Caracas,Venezuela,25 °C,2023-08-05 13:29:58.655963
188,Hanoi,Vietnam,28 °C,2023-08-05 13:29:58.655963
189,Harare,Zimbabwe,6 °C,2023-08-05 13:29:58.655963
