,Country,City,Temparature-in-Celcius,Extraction-Datetime
100,Madagascar,Antananarivo,20,2023-08-05 15:13:52.258453
101,Malawi,Lilongwe,19,2023-08-05 15:13:52.258453
102,Malaysia,Kuala Lumpur,34,2023-08-05 15:13:52.258453
103,Maldives,Male,31,2023-08-05 15:13:52.258453
104,Mali,Bamako,29,2023-08-05 15:13:52.258453
105,Malta,Valletta,28,2023-08-05 15:13:52.258453
106,Marshall Islands,Majuro,28,2023-08-05 15:13:52.258453
107,Mauritius,Port Louis,20,2023-08-05 15:13:52.258453
108,Mexico,Mexico City,16,2023-08-05 15:13:52.258453
109,Micronesia,Palikir,27,2023-08-05 15:13:52.258453
110,Moldova,Chișinău,31,2023-08-05 15:13:52.258453
111,Monaco,Monaco,25,2023-08-05 15:13:52.258453
112,Mongolia,Ulaanbaatar,26,2023-08-05 15:13:52.258453
113,Montenegro,Podgorica,22,2023-08-05 15:13:52.258453
114,Montserrat,Brades,28,2023-08-05 15:13:52.258453
115,Morocco,Rabat,26,2023-08-05 15:13:52.258453
116,Mozambique,Maputo,23,2023-08-05 15:13:52.258453
117,Namibia,Windhoek,19,2023-08-05 15:13:52.258453
118,Nepal,Kathmandu,26,2023-08-05 15:13:52.258453
119,Netherlands,Amsterdam,18,2023-08-05 15:13:52.258453
120,New Zealand,Wellington,6,2023-08-05 15:13:52.258453
121,Niger,Niamey,24,2023-08-05 15:13:52.258453
122,Niue,Alofi,23,2023-08-05 15:13:52.258453
123,North Korea,Pyongyang,31,2023-08-05 15:13:52.258453
124,North Macedonia,Skopje,34,2023-08-05 15:13:52.258453
125,Norway,Oslo,15,2023-08-05 15:13:52.258453
126,Oman,Muscat,30,2023-08-05 15:13:52.258453
127,Pakistan,Islamabad,27,2023-08-05 15:13:52.258453
128,Palau,Ngerulmud,26,2023-08-05 15:13:52.258453
129,Panama,Panama,27,2023-08-05 15:13:52.258453
130,Papua New Guinea,Port Moresby,26,2023-08-05 15:13:52.258453
131,Paraguay,Asuncion,18,2023-08-05 15:13:52.258453
132,Peru,Lima,20,2023-08-05 15:13:52.258453
133,Philippines,Manila,32,2023-08-05 15:13:52.258453
134,Poland,Warsaw,18,2023-08-05 15:13:52.259453
135,Portugal,Lisbon,28,2023-08-05 15:13:52.259453
136,Puerto Rico,San Juan,27,2023-08-05 15:13:52.259453
137,Qatar,Doha,41,2023-08-05 15:13:52.259453
138,Réunion (French),Saint-Denis,23,2023-08-05 15:13:52.259453
139,Romania,Bucharest,32,2023-08-05 15:13:52.259453
140,Russia,Moscow,25,2023-08-05 15:13:52.259453
141,Rwanda,Kigali,24,2023-08-05 15:13:52.259453
142,Saint Helena,Jamestown,15,2023-08-05 15:13:52.259453
143,Saint Kitts and Nevis,Basseterre,28,2023-08-05 15:13:52.259453
144,Saint Lucia,Castries,28,2023-08-05 15:13:52.259453
145,Saint Vincent and Grenadines,Kingstown,28,2023-08-05 15:13:52.259453
146,Samoa,Apia,28,2023-08-05 15:13:52.259453
147,San Marino,San Marino,20,2023-08-05 15:13:52.259453
148,Sao Tome and Principe,São Tomé,22,2023-08-05 15:13:52.259453
149,Saudi Arabia,Riyadh,42,2023-08-05 15:13:52.259453
150,Senegal,Dakar,29,2023-08-05 15:13:52.259453
151,Serbia,Belgrade,22,2023-08-05 15:13:52.259453
152,Seychelles,Victoria,27,2023-08-05 15:13:52.259453
153,Sierra Leone,Freetown,26,2023-08-05 15:13:52.259453
